sequence,on_date,on_longitude,on_latitude,off_date,off_longitude,off_latitude
0,2015-08-21T06:01:40.000Z,113.8827052560569,22.58100274975341,2015-08-21T06:16:49.000Z,113.81291044736142,22.625308763032994
1,2015-08-21T09:42:46.000Z,113.85041536809713,22.574408516645388,2015-08-21T09:57:10.000Z,113.81191039371984,22.622308705046528
2,2015-08-21T16:39:23.000Z,113.9346645298075,22.52163153399129,2015-08-21T17:13:33.000Z,113.80890421107692,22.627222558601407
3,2015-08-21T04:30:04.000Z,114.11591435831322,22.54271941935275,2015-08-21T05:06:27.000Z,113.80713408521109,22.62630444252367
4,2015-08-21T16:25:24.000Z,113.89200328946293,22.560500830854252,2015-08-21T16:54:14.000Z,113.81241442199465,22.62660974492748
5,2015-08-21T23:10:09.000Z,113.81321546268173,22.625410776982683,2015-08-21T23:20:38.000Z,113.81011028941366,22.627510629716355
6,2015-08-21T05:56:16.000Z,113.97870243871587,22.539746919544662,2015-08-21T06:21:24.000Z,113.80814915894987,22.62683651054368
7,2015-08-21T09:16:44.000Z,114.05417795807907,22.570487046181736,2015-08-21T10:03:21.000Z,113.80808815463352,22.626792506520967
8,2015-08-21T09:39:53.000Z,113.91783034501036,22.489669982766358,2015-08-21T10:23:30.000Z,113.8062260153567,22.62440637326106
9,2015-08-21T04:49:34.000Z,113.8408102084933,22.617010465252395,2015-08-21T04:57:23.000Z,113.81011028946466,22.62771063044186
10,2015-08-21T07:03:37.000Z,113.90120222128408,22.56479991211618,2015-08-21T07:25:05.000Z,113.8111093498321,22.62800968539235
11,2015-08-21T23:33:03.000Z,113.85651066818485,22.61690701369492,2015-08-21T23:47:56.000Z,113.81291044736142,22.625308763032994
12,2015-08-21T19:39:01.000Z,113.87070651273292,22.55840477602527,2015-08-21T19:59:09.000Z,113.80661504526144,22.623510397096478
13,2015-08-21T21:26:28.000Z,113.80991127670715,22.626708615622288,2015-08-21T21:28:52.000Z,113.80711108259092,22.622709427909694
14,2015-08-21T09:01:13.000Z,113.91643467013832,22.520029409671587,2015-08-21T09:41:11.000Z,113.81236041915987,22.626708742743286
15,2015-08-21T05:50:38.000Z,113.97535374699386,22.563936307360677,2015-08-21T06:15:51.000Z,113.8090262192582,22.627193565834407
16,2015-08-21T14:14:06.000Z,113.85729655756832,22.574357754141865,2015-08-21T14:32:08.000Z,113.80984327264412,22.62767561527606
17,2015-08-21T07:54:18.000Z,113.96999034432423,22.549587819412974,2015-08-21T08:25:14.000Z,113.80801214922717,22.626708501383728
18,2015-08-21T09:55:21.000Z,113.87602355637353,22.56362290042008,2015-08-21T10:16:30.000Z,113.80956025447512,22.627559598620447
19,2015-08-21T14:43:01.000Z,113.82004369896258,22.61270993927413,2015-08-21T14:44:48.000Z,113.81252842727558,22.623826740111856
20,2015-08-21T07:47:14.000Z,114.06176364086694,22.533392478722924,2015-08-21T08:16:01.000Z,113.80768412568727,22.62659247985855
21,2015-08-21T07:24:42.000Z,114.11525822788636,22.543987300525565,2015-08-21T08:02:37.000Z,113.81027829993884,22.62789364042959
22,2015-08-21T06:30:36.000Z,113.91536691947994,22.54247873287414,2015-08-21T06:51:58.000Z,113.80854618660007,22.62684253536644
23,2015-08-21T07:13:24.000Z,114.03825992616316,22.55585418602909,2015-08-21T07:44:31.000Z,113.80741710618452,22.626426461780106
24,2015-08-21T09:14:48.000Z,114.11387694745702,22.534235002268705,2015-08-21T10:05:32.000Z,113.80807315356924,22.626779505521736
25,2015-08-21T06:10:11.000Z,114.04347183245646,22.567072064147634,2015-08-21T06:37:52.000Z,113.81019429471006,22.62777763536027
26,2015-08-21T05:02:52.000Z,114.04104540483596,22.52908853125351,2015-08-21T05:32:16.000Z,113.81186539261036,22.627626722234336
27,2015-08-21T13:18:39.000Z,113.92330706512527,22.689717534015788,2015-08-21T14:13:49.000Z,113.80615801014557,22.624879370185422
28,2015-08-21T05:10:46.000Z,113.84276407261486,22.63037638292996,2015-08-21T05:18:11.000Z,113.8126664344896,22.62392674686739
29,2015-08-21T07:08:25.000Z,113.87202628316881,22.56361358095928,2015-08-21T07:27:39.000Z,113.80756211574429,22.62228145622365
30,2015-08-21T16:40:23.000Z,113.87425388357346,22.56512821254671,2015-08-21T17:02:52.000Z,113.80710408298408,22.62635244068582
31,2015-08-21T01:07:01.000Z,113.81004928543064,22.626851623912355,2015-08-21T01:12:58.000Z,113.80660804476278,22.623662397167116
32,2015-08-21T14:33:59.000Z,114.01493409338468,22.660277951482353,2015-08-21T15:23:06.000Z,113.80861419130855,22.626989540088267
33,2015-08-21T19:28:32.000Z,113.79474288596823,22.73791269532898,2015-08-21T20:15:12.000Z,113.80814115838663,22.62683851004509
34,2015-08-21T04:55:02.000Z,113.92595445786712,22.678447928152128,2015-08-21T05:13:47.000Z,113.80931623854448,22.627454583998862
35,2015-08-21T11:06:47.000Z,114.03930510332756,22.542470301211925,2015-08-21T11:33:47.000Z,113.80753111456282,22.626560469760452
36,2015-08-21T05:15:29.000Z,114.01877243192459,22.53420381262599,2015-08-21T05:38:57.000Z,113.80629502111724,22.625892383502578
37,2015-08-21T14:43:30.000Z,113.96059263886448,22.538406000042357,2015-08-21T15:11:56.000Z,113.81168138244486,22.62782671385677
38,2015-08-21T06:48:41.000Z,113.9197758906097,22.542977770896385,2015-08-21T07:10:15.000Z,113.80904922081264,22.627262567461795
39,2015-08-21T20:18:13.000Z,113.83691243537159,22.601110625191666,2015-08-21T20:28:13.000Z,113.8119103938745,22.62290970724604
40,2015-08-21T20:11:03.000Z,113.89520758023515,22.55880116054811,2015-08-21T20:40:42.000Z,113.80901121828413,22.627309565355876
41,2015-08-21T16:48:58.000Z,113.87461183284891,22.65670549710618,2015-08-21T16:58:17.000Z,113.81071232639206,22.628108664800035
42,2015-08-21T06:06:14.000Z,113.8366144473357,22.589109593434486,2015-08-21T06:17:00.000Z,113.80971326433563,22.627609607616616
43,2015-08-21T05:52:27.000Z,114.1812803297193,22.652158678755093,2015-08-21T06:32:05.000Z,113.80931623851194,22.62732658353466
44,2015-08-21T05:33:29.000Z,113.93001255555448,22.493127381600644,2015-08-21T06:09:07.000Z,113.810079287536,22.62774262882571
45,2015-08-21T06:24:56.000Z,113.88035572425692,22.569287143226735,2015-08-21T06:41:17.000Z,113.81097934225004,22.628126679022287
46,2015-08-21T14:00:24.000Z,114.05039315676241,22.663890613108958,2015-08-21T14:47:59.000Z,113.8125134262785,22.623008736421422
47,2015-08-21T20:43:53.000Z,113.81341349575644,22.716710091671683,2015-08-21T21:07:31.000Z,113.80601299885193,22.62541036183314
48,2015-08-21T06:33:03.000Z,113.8662132643468,22.582306570911474,2015-08-21T06:48:36.000Z,113.80911022489029,22.627309571275006
49,2015-08-21T09:48:44.000Z,114.10847381156393,22.547236976289085,2015-08-21T10:27:03.000Z,113.8127654401346,22.626008759004296
50,2015-08-21T15:52:40.000Z,113.99901853099534,22.595202239527108,2015-08-21T16:46:29.000Z,113.81099534317352,22.628059679618982
51,2015-08-21T07:12:48.000Z,114.00118555778285,22.53715204259676,2015-08-21T07:37:47.000Z,113.80958325594028,22.627475599646573
52,2015-08-21T04:58:19.000Z,113.92618340555448,22.678926880688163,2015-08-21T05:18:11.000Z,113.80908022289698,22.62732656954688
53,2015-08-21T14:03:20.000Z,114.09098374020027,22.551516168768305,2015-08-21T14:41:00.000Z,113.80929323701672,22.62739158241643
54,2015-08-21T08:07:39.000Z,114.00673965671535,22.64583451641448,2015-08-21T08:38:39.000Z,113.81006428662721,22.62785962841052
55,2015-08-21T08:11:01.000Z,114.04127444589977,22.523555548998786,2015-08-21T08:49:29.000Z,113.80816416001205,22.626859511574906
56,2015-08-21T14:46:57.000Z,114.05274364287041,22.66320906101597,2015-08-21T15:24:30.000Z,113.81244442357844,22.62660974633621
57,2015-08-21T05:30:47.000Z,114.00748767371876,22.68678566254491,2015-08-21T05:59:50.000Z,113.80981227047803,22.626909610733037
58,2015-08-21T06:07:11.000Z,114.08960240211941,22.55168185279388,2015-08-21T06:43:05.000Z,113.8117273849863,22.627725715778165
59,2015-08-21T06:33:38.000Z,114.10903893311172,22.54167107164244,2015-08-21T07:09:46.000Z,113.8089812162449,22.627193563134245
60,2015-08-21T08:38:44.000Z,114.02800442694523,22.53753673690697,2015-08-21T09:15:04.000Z,113.80792814329857,22.62690949674607
61,2015-08-21T13:17:41.000Z,114.11822581321805,22.568072935473506,2015-08-21T13:59:37.000Z,113.81272743821778,22.626159757816385
62,2015-08-21T09:53:50.000Z,114.02030557158112,22.53831995548357,2015-08-21T10:22:57.000Z,113.80949925050959,22.62751059490365
63,2015-08-21T14:12:32.000Z,113.94037831676157,22.55069051071834,2015-08-21T14:36:38.000Z,113.80768412569157,22.6266094799202
64,2015-08-21T05:54:09.000Z,114.025372085846,22.63235276112267,2015-08-21T06:25:11.000Z,113.80801214924408,22.62677550162671
65,2015-08-21T08:14:13.000Z,113.9619734299105,22.53957080733302,2015-08-21T08:43:03.000Z,113.80757711791928,22.62657747283243
66,2015-08-21T09:48:31.000Z,113.94552728009224,22.55887456856346,2015-08-21T10:11:45.000Z,113.80971326433563,22.627609607616616
67,2015-08-21T14:21:59.000Z,114.06301492991066,22.51779169192934,2015-08-21T14:57:55.000Z,113.80904922073118,22.626941566297393
68,2015-08-21T04:29:55.000Z,113.89708316157316,22.595217908469127,2015-08-21T04:40:20.000Z,113.80716508657082,22.622526430859452
69,2015-08-21T04:47:01.000Z,114.00947079776293,22.53676824846957,2015-08-21T05:12:32.000Z,113.8066990518083,22.623992404627423
70,2015-08-21T07:10:30.000Z,113.93086636573669,22.49096019478715,2015-08-21T07:45:41.000Z,113.80937724251491,22.627342587173967
71,2015-08-21T14:34:12.000Z,114.08857214927582,22.55551562933192,2015-08-21T15:15:07.000Z,113.80916422846859,22.627277574371977
72,2015-08-21T06:41:24.000Z,114.04780565728063,22.543871744974364,2015-08-21T07:08:20.000Z,113.80979726969694,22.6275926123568
73,2015-08-21T05:51:03.000Z,113.9153289283827,22.54168573806613,2015-08-21T06:09:33.000Z,113.8096752618705,22.62749860503301
74,2015-08-21T14:15:05.000Z,113.97637564870612,22.554281176426052,2015-08-21T14:57:19.000Z,113.8062420169734,22.625867379690284
75,2015-08-21T07:43:48.000Z,113.92649534584993,22.517986222985684,2015-08-21T08:08:24.000Z,113.80948424956699,22.627635594484477
76,2015-08-21T06:07:49.000Z,113.91677059185913,22.509409293653405,2015-08-21T06:34:34.000Z,113.80862219186449,22.62701954068871
77,2015-08-21T05:31:54.000Z,113.91978389047428,22.49099656216083,2015-08-21T05:59:54.000Z,113.80958325594943,22.62751159977714
78,2015-08-21T14:24:28.000Z,114.0718440260892,22.528066681737428,2015-08-21T14:53:43.000Z,113.81191839552662,22.627624724825303
79,2015-08-21T06:37:48.000Z,114.06272485072552,22.661545103577005,2015-08-21T07:06:30.000Z,113.80951525152734,22.627429595539542
80,2015-08-21T07:50:06.000Z,113.85761651665949,22.57858073152239,2015-08-21T08:12:29.000Z,113.80871419817996,22.62713254673509
81,2015-08-21T07:44:15.000Z,114.02645523534781,22.537261559793574,2015-08-21T08:10:47.000Z,113.81252142688099,22.623718739391023
82,2015-08-21T08:05:52.000Z,113.97987734019472,22.53578680991157,2015-08-21T08:36:34.000Z,113.80750811286941,22.626504468049248
83,2015-08-21T20:34:42.000Z,113.8650084505055,22.56260567095189,2015-08-21T20:52:10.000Z,113.80681406033793,22.62310940927949
84,2015-08-21T07:33:35.000Z,114.05409394016874,22.570691030274034,2015-08-21T08:08:19.000Z,113.81241442204642,22.62681074565888
85,2015-08-21T05:21:39.000Z,113.86987465845112,22.574777974946556,2015-08-21T05:43:09.000Z,113.80753911513685,22.62652247014676
86,2015-08-21T19:06:00.000Z,113.92091262221744,22.643815900982627,2015-08-21T19:30:07.000Z,113.80951525154795,22.6275105958333
87,2015-08-21T06:51:19.000Z,113.92635037842524,22.523754276687022,2015-08-21T07:13:48.000Z,113.80721809062449,22.62297843604688
88,2015-08-21T05:31:09.000Z,113.92738014560233,22.51280001434895,2015-08-21T05:54:34.000Z,113.80734810111254,22.62644345728211
89,2015-08-21T15:14:38.000Z,114.01259196663902,22.54168541843386,2015-08-21T15:39:40.000Z,113.81151437307108,22.627908705779443
90,2015-08-21T04:48:37.000Z,113.92056870766234,22.51211247597416,2015-08-21T05:10:09.000Z,113.81211640622178,22.627243733052076
91,2015-08-21T06:29:48.000Z,114.03785585148458,22.59950627178248,2015-08-21T07:01:17.000Z,113.80639402882818,22.62594239060779
92,2015-08-21T05:20:10.000Z,113.92489371091021,22.518594567716022,2015-08-21T05:46:28.000Z,113.80941524504105,22.62751059000709
93,2015-08-21T10:52:24.000Z,114.04798969399003,22.53970676399128,2015-08-21T11:22:42.000Z,113.80784413724432,22.62672649068965
94,2015-08-21T14:06:18.000Z,114.12343078363709,22.64480610104111,2015-08-21T14:59:56.000Z,113.80805015209944,22.627408506340128
95,2015-08-21T03:28:47.000Z,114.04380790309479,22.511188927063227,2015-08-21T03:57:29.000Z,113.8091482274323,22.627376573780136
96,2015-08-21T05:29:48.000Z,114.05557426418659,22.514023128838787,2015-08-21T05:56:26.000Z,113.80751611346787,22.626560468777114
