sequence,on_date,on_longitude,on_latitude,off_date,off_longitude,off_latitude
0,2015-08-27T07:19:04.000Z,114.01459107647592,22.630385837004575,2015-08-27T07:47:54.000Z,113.80771412672514,22.622110465497087
1,2015-08-27T05:01:59.000Z,113.89720613085824,22.552099713799628,2015-08-27T05:24:47.000Z,113.81031630228512,22.627908642578138
2,2015-08-27T06:22:58.000Z,113.86140799570202,22.58640627179111,2015-08-27T06:36:29.000Z,113.81001128323965,22.627609624530862
3,2015-08-27T23:27:03.000Z,113.8552138327975,22.62690820350769,2015-08-27T23:39:52.000Z,113.80941524504105,22.62751059000709
4,2015-08-27T05:23:31.000Z,114.01888641838184,22.63358615698921,2015-08-27T05:55:24.000Z,113.809515251522,22.627408595463372
5,2015-08-27T06:13:33.000Z,114.12812355701912,22.577515620846626,2015-08-27T06:53:03.000Z,113.80612000731422,22.625499369749317
6,2015-08-27T19:14:41.000Z,113.94667906420388,22.508047163345925,2015-08-27T19:52:37.000Z,113.80589798959002,22.624851351596238
7,2015-08-27T04:18:08.000Z,114.11037421909309,22.54126733965871,2015-08-27T04:52:48.000Z,113.80898821665942,22.626977562771266
8,2015-08-27T20:00:17.000Z,113.90519929796335,22.58340011973083,2015-08-27T20:19:52.000Z,113.81031630225985,22.62780964221909
9,2015-08-27T08:39:35.000Z,114.05459803861227,22.644591369518857,2015-08-27T09:27:35.000Z,113.81161337862906,22.627809710397763
10,2015-08-27T19:49:20.000Z,113.88580961844005,22.587802178924488,2015-08-27T20:06:40.000Z,113.81241442119604,22.623510733622798
11,2015-08-27T09:31:07.000Z,114.06303793522743,22.51777669682532,2015-08-27T10:04:28.000Z,113.81182639046305,22.627651720406355
12,2015-08-27T05:16:56.000Z,113.82551374818493,22.61520998390263,2015-08-27T05:18:53.000Z,113.81291044718068,22.62460876047817
13,2015-08-27T06:33:56.000Z,113.84221414783754,22.771409868062182,2015-08-27T06:55:26.000Z,113.81291044743936,22.625610764134393
14,2015-08-27T07:37:32.000Z,114.09975184011545,22.542079105148858,2015-08-27T08:07:32.000Z,113.8064400323778,22.62588639360952
15,2015-08-27T04:31:02.000Z,114.12969481022812,22.611206972205892,2015-08-27T05:12:10.000Z,113.80763012174972,22.626493475986443
16,2015-08-27T14:04:47.000Z,113.90971524320035,22.543998978663627,2015-08-27T14:30:43.000Z,113.81197939759191,22.622659709699
17,2015-08-27T06:11:14.000Z,114.04277771175572,22.53427183425204,2015-08-27T06:37:33.000Z,113.81062932136156,22.62794365974544
18,2015-08-27T07:17:11.000Z,113.9249476969426,22.546362665511523,2015-08-27T07:40:49.000Z,113.81272743818346,22.62602675733186
19,2015-08-27T06:10:07.000Z,113.9785044223498,22.67633640058976,2015-08-27T06:29:30.000Z,113.80998028133685,22.627792623450702
20,2015-08-27T08:19:39.000Z,113.8868394020692,22.583969962006073,2015-08-27T08:44:02.000Z,113.80968226236948,22.627693606142348
21,2015-08-27T05:33:41.000Z,113.87876203528386,22.5653044190652,2015-08-27T05:52:43.000Z,113.81200939933755,22.62307771268681
22,2015-08-27T06:48:51.000Z,114.12066027626324,22.598123473200555,2015-08-27T07:27:09.000Z,113.8109113382315,22.62809167531561
23,2015-08-27T10:47:33.000Z,114.0571616087422,22.525858491818298,2015-08-27T11:24:14.000Z,113.81011028949423,22.62782663086256
24,2015-08-27T06:50:00.000Z,114.04866082247824,22.567473982359033,2015-08-27T07:16:43.000Z,113.8077451300928,22.626592483813933
25,2015-08-27T04:00:10.000Z,114.05787876701629,22.524058632491478,2015-08-27T04:27:27.000Z,113.81221541056141,22.62337672370241
26,2015-08-27T19:03:44.000Z,114.05602435906927,22.537591301894093,2015-08-27T19:36:47.000Z,113.81283344354223,22.625709761010818
27,2015-08-27T20:04:40.000Z,114.07685025133513,22.535744852036235,2015-08-27T20:37:50.000Z,113.80959925700287,22.62759260099545
28,2015-08-27T21:22:03.000Z,113.9153139325204,22.489679533302677,2015-08-27T21:58:14.000Z,113.80929323703806,22.627475582721036
29,2015-08-27T07:45:39.000Z,114.11121339677608,22.54197250953784,2015-08-27T08:23:39.000Z,113.80763812233972,22.626531476645393
30,2015-08-27T05:38:10.000Z,114.02486805135395,22.526937352448172,2015-08-27T06:06:46.000Z,113.80937724250221,22.627292586992606
31,2015-08-27T05:28:07.000Z,114.1147621341946,22.580454335391327,2015-08-27T06:02:24.000Z,113.80753111455401,22.62652546963353
32,2015-08-27T06:51:13.000Z,114.09030457464884,22.56118304693391,2015-08-27T07:25:47.000Z,113.81291044759836,22.626226766379403
33,2015-08-27T13:43:33.000Z,113.91585480273228,22.661509068168115,2015-08-27T14:04:02.000Z,113.8077291277943,22.622056466271985
34,2015-08-27T21:40:59.000Z,113.80967526181118,22.627265604187773,2015-08-27T21:46:49.000Z,113.80763812181992,22.624469469155752
35,2015-08-27T03:54:11.000Z,114.03426127940769,22.625492833359925,2015-08-27T04:25:36.000Z,113.80908722329819,22.62706956903266
36,2015-08-27T07:21:19.000Z,114.04054930414209,22.61075772815442,2015-08-27T07:55:28.000Z,113.8103163022578,22.62780164219008
37,2015-08-27T05:05:56.000Z,114.04296074594194,22.52758784153041,2015-08-27T05:38:22.000Z,113.8092632350335,22.62735958053133
38,2015-08-27T18:40:00.000Z,114.05465906499406,22.53522402020565,2015-08-27T19:24:03.000Z,113.80924823402752,22.627292579402532
39,2015-08-27T07:41:47.000Z,113.91100394156359,22.559996759225395,2015-08-27T08:03:30.000Z,113.81200939906259,22.622009708777533
40,2015-08-27T19:46:31.000Z,113.88070665464085,22.56770307200005,2015-08-27T20:07:39.000Z,113.8104153083856,22.628009648374462
41,2015-08-27T05:15:52.000Z,113.91966891719044,22.490445584974484,2015-08-27T05:45:07.000Z,113.81216240865854,22.627059734594468
42,2015-08-27T16:56:00.000Z,113.91015014067936,22.48506464651454,2015-08-27T17:28:26.000Z,113.81186539260162,22.62759272211084
43,2015-08-27T09:20:59.000Z,114.01939046391482,22.633287197313013,2015-08-27T10:07:31.000Z,113.80594399322231,22.624759354551216
44,2015-08-27T08:18:22.000Z,113.92677826989485,22.67989375668284,2015-08-27T08:39:28.000Z,113.80888120952707,22.627225557222587
45,2015-08-27T10:16:19.000Z,114.06321297563544,22.518642737549342,2015-08-27T10:45:21.000Z,113.80946124804744,22.627542592807888
46,2015-08-27T08:52:38.000Z,114.12136239477721,22.54333840181589,2015-08-27T09:33:38.000Z,113.81269643605879,22.62399274848805
47,2015-08-27T06:01:23.000Z,114.05539121149992,22.626992473121533,2015-08-27T06:35:30.000Z,113.812513426459,22.62370873898157
48,2015-08-27T04:18:38.000Z,113.8589133594857,22.654006852438666,2015-08-27T04:33:32.000Z,113.80920923150732,22.627510577886003
49,2015-08-27T17:09:38.000Z,113.8269107401983,22.615810976204802,2015-08-27T17:19:24.000Z,113.80981227060518,22.62740861254402
50,2015-08-27T09:02:21.000Z,113.86120902811571,22.604608369077297,2015-08-27T09:14:16.000Z,113.80961425797452,22.627609601922998
51,2015-08-27T08:47:30.000Z,113.92694623929168,22.57934436556239,2015-08-27T09:11:03.000Z,113.8097662677502,22.627710611015715
52,2015-08-27T05:06:41.000Z,114.10310961590206,22.54245183514007,2015-08-27T05:39:38.000Z,113.8099112769536,22.627675619131843
53,2015-08-27T07:01:26.000Z,114.01943549319964,22.52686784104152,2015-08-27T07:31:03.000Z,113.80944624704551,22.627443591574288
54,2015-08-27T06:23:39.000Z,113.97215709089285,22.550952584205746,2015-08-27T06:48:46.000Z,113.81144536917324,22.627977702538377
55,2015-08-27T05:57:23.000Z,114.02763838312798,22.526553655871833,2015-08-27T06:23:54.000Z,113.80943124606785,22.627443590698864
56,2015-08-27T05:42:41.000Z,114.02820344588623,22.567436863833862,2015-08-27T06:11:04.000Z,113.8093322395664,22.627342584533405
57,2015-08-27T07:00:02.000Z,113.89063858757768,22.56636813254867,2015-08-27T07:16:51.000Z,113.81164338031729,22.627826711960463
58,2015-08-27T22:24:56.000Z,113.9088144543552,22.574215294704594,2015-08-27T22:45:16.000Z,113.81248242482754,22.62369373747945
59,2015-08-27T17:25:14.000Z,113.84541084404935,22.56740893977106,2015-08-27T17:40:45.000Z,113.80731009739425,22.62281044155373
60,2015-08-27T09:30:22.000Z,114.05537620826416,22.6269404699508,2015-08-27T10:14:55.000Z,113.8102172961447,22.627809636751827
61,2015-08-27T06:12:00.000Z,114.06766201889086,22.54751181164943,2015-08-27T06:40:42.000Z,113.80956025447081,22.627542598558804
62,2015-08-27T08:13:47.000Z,114.03322414446215,22.52658735737133,2015-08-27T08:48:12.000Z,113.80904922082459,22.627309567632235
63,2015-08-27T06:49:55.000Z,114.04767663166159,22.54635773017261,2015-08-27T07:19:05.000Z,113.80964425990206,22.627592603590607
64,2015-08-27T03:27:40.000Z,113.96828955718405,22.540487985541763,2015-08-27T03:49:35.000Z,113.81171238419712,22.62790871569736
65,2015-08-27T05:34:38.000Z,114.04148747911327,22.548688671285593,2015-08-27T05:59:30.000Z,113.80961425797452,22.627609601922998
66,2015-08-27T06:58:02.000Z,114.11635645580677,22.6037147154421,2015-08-27T07:43:25.000Z,113.80955325401108,22.627515598055467
67,2015-08-27T08:16:21.000Z,113.85469488581705,22.581154087927555,2015-08-27T08:34:14.000Z,113.80772912893343,22.62657148270165
68,2015-08-27T15:05:30.000Z,114.11210658313357,22.537103668481716,2015-08-27T15:49:50.000Z,113.80971326433563,22.627609607616616
69,2015-08-27T05:35:59.000Z,114.01330101184809,22.53946745088272,2015-08-27T05:59:50.000Z,113.80784413722314,22.62664249038504
70,2015-08-27T05:57:51.000Z,114.02170171084713,22.527313041705128,2015-08-27T06:25:22.000Z,113.80887420903112,22.62713255646197
71,2015-08-27T10:17:05.000Z,114.07780448662716,22.53991708633635,2015-08-27T10:49:23.000Z,113.81048431260092,22.628030652213173
72,2015-08-27T21:42:34.000Z,113.88000478390772,22.504251944617863,2015-08-27T22:06:20.000Z,113.80886620849337,22.627141556010553
73,2015-08-27T16:44:44.000Z,113.94600019562051,22.506931282421355,2015-08-27T17:09:09.000Z,113.80889721057913,22.627119557805127
74,2015-08-27T03:52:28.000Z,113.81751064978528,22.676610109275646,2015-08-27T04:07:02.000Z,113.80881320492577,22.62720855304057
75,2015-08-27T05:03:51.000Z,113.8880061556296,22.58890275011191,2015-08-27T05:20:59.000Z,113.80811115628815,22.626909508403465
76,2015-08-27T05:27:35.000Z,113.83771339604971,22.612810629097808,2015-08-27T05:35:53.000Z,113.80961425794932,22.627510601563976
77,2015-08-27T16:45:52.000Z,114.02671526633156,22.53962359700238,2015-08-27T17:19:05.000Z,113.80765312344641,22.6266074778975
78,2015-08-27T06:16:10.000Z,114.0842600842595,22.537810571719998,2015-08-27T06:47:11.000Z,113.80963725943023,22.62750860288279
79,2015-08-27T07:43:44.000Z,113.97994633453736,22.535748804351385,2015-08-27T08:11:09.000Z,113.80791214209506,22.626666494839768
80,2015-08-27T05:48:58.000Z,113.92664031178015,22.53547126106461,2015-08-27T06:10:20.000Z,113.80649303606228,22.624246391336943
81,2015-08-27T04:59:07.000Z,113.96139351395621,22.55373494234889,2015-08-27T05:41:41.000Z,113.80760711902178,22.62229745922126
82,2015-08-27T10:08:26.000Z,113.92992857199468,22.522301514551486,2015-08-27T10:35:33.000Z,113.80933924004387,22.627414585205784
83,2015-08-27T07:27:51.000Z,113.94620614759205,22.56123545320053,2015-08-27T07:49:28.000Z,113.80863719290986,22.62709054186737
84,2015-08-27T08:32:13.000Z,114.12609322049109,22.54960720659119,2015-08-27T09:18:27.000Z,113.81141436740766,22.627977700963807
85,2015-08-27T05:49:08.000Z,114.02029056900894,22.54328697163305,2015-08-27T06:12:48.000Z,113.81061332038773,22.627908658756446
86,2015-08-27T07:39:30.000Z,114.07743039428124,22.543413012355728,2015-08-27T08:07:00.000Z,113.80962925893252,22.627576602668384
87,2015-08-27T05:24:31.000Z,114.04434199939458,22.525589068990303,2015-08-27T05:50:52.000Z,113.80926323500401,22.62724358011061
88,2015-08-27T06:05:21.000Z,114.106558409741,22.6946860603753,2015-08-27T06:56:20.000Z,113.80954525347498,22.62744359733079
89,2015-08-27T19:41:09.000Z,114.05137737578971,22.53732338784593,2015-08-27T20:12:23.000Z,113.8085301855739,22.62714153546269
90,2015-08-27T19:30:09.000Z,114.118424850568,22.563887956684933,2015-08-27T20:14:09.000Z,113.8087442001954,22.627025548178164
91,2015-08-27T16:56:28.000Z,113.90875346705756,22.4858989555896,2015-08-27T17:35:24.000Z,113.8106133204092,22.627992659061128
92,2015-08-27T07:58:07.000Z,114.06441125171128,22.55137511091743,2015-08-27T08:30:41.000Z,113.80911022489866,22.627342571394678
93,2015-08-27T08:51:26.000Z,113.92891379903843,22.524893737909146,2015-08-27T09:19:32.000Z,113.8073631012358,22.622543444090944
94,2015-08-27T06:54:44.000Z,114.04272369794165,22.55878891010269,2015-08-27T07:25:42.000Z,113.8084311786572,22.626842528243166
95,2015-08-27T05:34:58.000Z,113.92299514544406,22.542895072192287,2015-08-27T05:56:37.000Z,113.8060129988017,22.62520936110379
96,2015-08-27T05:04:51.000Z,113.89760204285454,22.573799715798827,2015-08-27T05:22:40.000Z,113.81271143683807,22.624010749242263
97,2015-08-27T21:07:43.000Z,114.08947236984035,22.543798795334894,2015-08-27T21:39:20.000Z,113.81254442808263,22.623708740425162
98,2015-08-27T07:22:53.000Z,114.03825991803177,22.59983833432472,2015-08-27T08:03:35.000Z,113.80768412571224,22.626691480217534
99,2015-08-27T08:03:09.000Z,114.06187765630905,22.65275989602684,2015-08-27T08:38:03.000Z,113.80802715030072,22.626743502466176
100,2015-08-27T08:37:47.000Z,113.97211909529402,22.55045358644321,2015-08-27T09:03:50.000Z,113.80794314430959,22.62667649686145
101,2015-08-27T18:41:26.000Z,114.09458561463936,22.56004901727201,2015-08-27T19:26:38.000Z,113.80819516215408,22.62670851298341
102,2015-08-27T05:37:00.000Z,114.13522759092501,22.548324509231747,2015-08-27T06:12:18.000Z,113.80768412455679,22.622110463550467
103,2015-08-27T07:23:23.000Z,113.97965635843904,22.535935827942552,2015-08-27T07:50:35.000Z,113.81246042368292,22.623743736632857
104,2015-08-27T06:04:55.000Z,114.1097560879372,22.54643523382903,2015-08-27T06:39:15.000Z,113.80801214922717,22.626708501383728
105,2015-08-27T05:11:25.000Z,114.1082597642048,22.541052910464874,2015-08-27T05:41:43.000Z,113.81066732344,22.627126658823553
106,2015-08-27T07:42:15.000Z,113.83961330381605,22.687709788837672,2015-08-27T08:05:22.000Z,113.80691306792947,22.62351041747242
107,2015-08-27T07:42:31.000Z,114.02670726535926,22.53961959609434,2015-08-27T08:06:19.000Z,113.81256642991598,22.626359751119324
108,2015-08-27T08:35:11.000Z,114.0911207733265,22.54560417939188,2015-08-27T09:14:48.000Z,113.81058331748274,22.6236346415846
109,2015-08-27T09:03:51.000Z,113.82374377477088,22.72372735248255,2015-08-27T09:22:10.000Z,113.8119333951118,22.62281070800845
110,2015-08-27T04:17:50.000Z,114.04079336064105,22.530488495478533,2015-08-27T04:44:54.000Z,113.80951525154795,22.6275105958333
111,2015-08-27T06:03:15.000Z,113.91760239722515,22.530895197474624,2015-08-27T06:25:06.000Z,113.8076151206646,22.626508475063048
112,2015-08-27T05:48:58.000Z,113.86639623299028,22.571389500418743,2015-08-27T06:04:22.000Z,113.81036230510891,22.627893645051426
113,2015-08-27T06:42:56.000Z,113.88603857063515,22.58808613527297,2015-08-27T07:01:48.000Z,113.80891221158278,22.62709255861285
114,2015-08-27T09:31:30.000Z,113.93313186357122,22.521541846859375,2015-08-27T10:03:44.000Z,113.80892721262178,22.627208559938364
115,2015-08-27T05:38:55.000Z,113.80001547206614,22.703908133699088,2015-08-27T06:02:00.000Z,113.80751611345477,22.626508468588554
116,2015-08-27T14:38:26.000Z,113.82341576006287,22.67381019277372,2015-08-27T14:51:45.000Z,113.80861419126322,22.62681053943898
117,2015-08-27T04:58:10.000Z,113.97238606184824,22.565385612497803,2015-08-27T05:32:15.000Z,113.80830917016371,22.626810520515928
118,2015-08-27T06:57:42.000Z,114.12350679701656,22.645006114337768,2015-08-27T07:27:54.000Z,113.80920923145628,22.627309577157146
119,2015-08-27T08:26:12.000Z,114.10890891531271,22.617402306749014,2015-08-27T09:07:25.000Z,113.81061332041355,22.62800965912277
120,2015-08-27T19:59:40.000Z,114.05441399919157,22.644744333466416,2015-08-27T20:37:59.000Z,113.80606600310871,22.62569236662252
121,2015-08-27T23:52:47.000Z,113.8134134721427,22.624408781946354,2015-08-28T00:07:28.000Z,113.80981227057995,22.62730961218484
122,2015-08-27T06:36:36.000Z,113.81801466165508,22.66341107792927,2015-08-27T06:48:11.000Z,113.81011028946466,22.62771063044186
123,2015-08-27T15:37:40.000Z,113.82191273709095,22.639809063914107,2015-08-27T15:46:04.000Z,113.80861419123735,22.626708539068915
124,2015-08-27T23:53:38.000Z,114.01659021912388,22.65798705735733,2015-08-28T00:25:06.000Z,113.80830917016371,22.626810520515928
