sequence,on_date,on_longitude,on_latitude,off_date,off_longitude,off_latitude
0,2015-09-14T04:38:01.000Z,113.85811246046524,22.621908836547433,2015-09-14T04:51:22.000Z,113.80891221161218,22.627208559033555
1,2015-09-14T08:59:16.000Z,113.90300280638243,22.56310051717144,2015-09-14T09:23:51.000Z,113.81191039369436,22.622209704684032
2,2015-09-14T11:34:13.000Z,114.09814946334379,22.540133744791728,2015-09-14T12:05:46.000Z,113.80907222235123,22.627277568891344
3,2015-09-14T05:44:34.000Z,113.9251986309298,22.676696084597484,2015-09-14T06:16:02.000Z,113.8076151206646,22.626508475063048
4,2015-09-14T07:15:22.000Z,114.10188833613942,22.5438835771968,2015-09-14T07:50:40.000Z,113.80764512174936,22.622177461259394
5,2015-09-14T10:42:44.000Z,114.02673825064932,22.623636882498825,2015-09-14T11:39:47.000Z,113.80826316694855,22.62681051763164
6,2015-09-14T06:59:47.000Z,114.06388512734871,22.573800073475947,2015-09-14T07:33:42.000Z,113.80954525350069,22.627544597697085
7,2015-09-14T10:45:44.000Z,114.05140738055763,22.5480444307482,2015-09-14T11:17:41.000Z,113.80881320488469,22.627046552453056
8,2015-09-14T06:50:42.000Z,113.97140217454664,22.562080706807734,2015-09-14T07:13:55.000Z,113.8096602609021,22.627479604101662
9,2015-09-14T21:45:44.000Z,113.85701359418852,22.574006787222906,2015-09-14T22:04:00.000Z,113.80640902963242,22.62450938645161
10,2015-09-14T18:22:08.000Z,114.10783268026859,22.610948064894124,2015-09-14T19:15:53.000Z,113.81252842738544,22.62425274166834
11,2015-09-14T11:28:04.000Z,113.92410089255644,22.51759373398955,2015-09-14T11:53:33.000Z,113.81161337865446,22.62790871075716
12,2015-09-14T04:06:34.000Z,114.0631289547273,22.53757478568616,2015-09-14T04:35:01.000Z,113.80896521521362,22.627359562774302
13,2015-09-14T16:26:22.000Z,113.94956251423672,22.539221770578994,2015-09-14T16:57:00.000Z,113.80801214924408,22.62677550162671
14,2015-09-14T11:22:27.000Z,113.82337775999504,22.674460194803142,2015-09-14T11:36:04.000Z,113.80639402882818,22.62594239060779
15,2015-09-14T04:08:14.000Z,113.8064630612253,22.73544375251629,2015-09-14T04:31:23.000Z,113.80589798963369,22.62502635223154
16,2015-09-14T05:48:57.000Z,113.78785995253556,22.693240724383763,2015-09-14T06:07:23.000Z,113.81213240704795,22.6270927332732
17,2015-09-14T06:39:10.000Z,114.06264883733746,22.614910942923352,2015-09-14T07:13:47.000Z,113.80961425795748,22.62754260168003
18,2015-09-14T09:36:04.000Z,114.11991312827402,22.545905158261203,2015-09-14T10:16:38.000Z,113.80723309258808,22.62635944933864
19,2015-09-14T16:39:47.000Z,113.9788094285566,22.543352923891028,2015-09-14T17:32:30.000Z,113.81101034296562,22.62380966493857
20,2015-09-14T17:57:37.000Z,114.12085930548487,22.557622365977462,2015-09-14T18:55:12.000Z,113.80927823604715,22.627460581782547
21,2015-09-14T05:53:29.000Z,114.06612865524666,22.547526473033905,2015-09-14T06:20:55.000Z,113.81049931349995,22.627977652836517
22,2015-09-14T03:49:22.000Z,114.0265702521949,22.523568524368528,2015-09-14T04:13:51.000Z,113.8118263904692,22.62767572049352
23,2015-09-14T05:24:40.000Z,113.81947969642825,22.649928063985467,2015-09-14T05:33:48.000Z,113.81009428849511,22.62782662996896
24,2015-09-14T11:39:19.000Z,113.94490940882312,22.506557481341932,2015-09-14T12:03:43.000Z,113.80911022488216,22.627277571158963
25,2015-09-14T04:12:20.000Z,114.04108340700351,22.555192628066425,2015-09-14T04:41:01.000Z,113.80922523250706,22.627283578010026
26,2015-09-14T16:01:16.000Z,114.04988907138382,22.545591135140647,2015-09-14T16:35:33.000Z,113.81261243169456,22.623958744492587
27,2015-09-14T22:09:59.000Z,113.94882265006605,22.55237295036611,2015-09-14T22:33:09.000Z,113.81291044715952,22.624526760178718
28,2015-09-14T07:33:33.000Z,114.02815743045718,22.611487005684825,2015-09-14T08:14:56.000Z,113.80772912890518,22.626459482295427
29,2015-09-14T17:58:15.000Z,114.1262082416564,22.559706261056107,2015-09-14T18:49:52.000Z,113.8059289921851,22.62537535571545
30,2015-09-14T20:14:03.000Z,114.09115078065895,22.545749186760396,2015-09-14T20:49:15.000Z,113.80753111454594,22.626493469517488
31,2015-09-14T18:14:24.000Z,113.85207020185976,22.629700559899806,2015-09-14T18:19:26.000Z,113.81260543130705,22.62386874383985
