sequence,on_date,on_longitude,on_latitude,off_date,off_longitude,off_latitude
0,2015-09-02T05:01:45.000Z,113.90160712899748,22.581099888677198,2015-09-02T05:19:41.000Z,113.81051431439406,22.62790865340096
1,2015-09-02T20:34:04.000Z,113.88380403119707,22.572303506197834,2015-09-02T21:02:43.000Z,113.81271143737983,22.626110756904424
2,2015-09-02T07:29:08.000Z,113.90440648180336,22.57419925642715,2015-09-02T07:54:40.000Z,113.80631002194012,22.624509379533617
3,2015-09-02T16:05:38.000Z,114.05439199460744,22.643792326193037,2015-09-02T17:09:15.000Z,113.80751611345477,22.626508468588554
4,2015-09-02T09:49:58.000Z,113.82951170315592,22.617210942389264,2015-09-02T09:57:10.000Z,113.81200939929433,22.622909712072282
5,2015-09-02T09:20:37.000Z,113.8658093286237,22.582606632266675,2015-09-02T09:53:48.000Z,113.80671505356031,22.626110413417482
6,2015-09-02T17:12:23.000Z,113.91999683520909,22.64299609763548,2015-09-02T17:45:57.000Z,113.8059139908272,22.624710352229144
7,2015-09-02T16:05:48.000Z,114.02254079384326,22.541236169608172,2015-09-02T17:16:03.000Z,113.80678305811772,22.62364140910102
8,2015-09-02T08:18:20.000Z,113.89520758084468,22.56660219142353,2015-09-02T08:42:54.000Z,113.81291044712904,22.62440875974773
9,2015-09-02T06:45:05.000Z,114.05549023314127,22.625090486971068,2015-09-02T07:18:22.000Z,113.80881320490066,22.627109552681546
10,2015-09-02T22:33:23.000Z,113.84081020605078,22.607309428630824,2015-09-02T22:44:59.000Z,113.81291044741327,22.625509763766104
11,2015-09-02T17:28:21.000Z,114.0770483000563,22.54305792315484,2015-09-02T18:01:04.000Z,113.80749311177759,22.626522467129906
12,2015-09-02T06:44:42.000Z,114.03118683272206,22.623387415571266,2015-09-02T07:33:44.000Z,113.81200939911407,22.622209709510074
13,2015-09-02T17:11:41.000Z,113.88810613372601,22.58310170766099,2015-09-02T17:33:48.000Z,113.8120093993198,22.62300871243443
14,2015-09-02T18:59:43.000Z,113.89500162587946,22.554502186484548,2015-09-02T19:28:40.000Z,113.80920923132952,22.626810575346727
15,2015-09-02T05:18:38.000Z,114.03871000667856,22.52404514443995,2015-09-02T05:46:59.000Z,113.8128034420462,22.62586076019743
16,2015-09-02T14:39:00.000Z,113.93464253066696,22.55976168633241,2015-09-02T15:06:01.000Z,113.81008728807087,22.62787862976627
17,2015-09-02T04:04:59.000Z,114.12272864702022,22.578073758394762,2015-09-02T04:41:05.000Z,113.80744710843592,22.626626464482232
18,2015-09-02T05:06:53.000Z,113.86056111481666,22.57757335057497,2015-09-02T05:19:47.000Z,113.8090112182547,22.62719356493521
19,2015-09-02T05:55:06.000Z,114.10770364639185,22.56760289007423,2015-09-02T06:32:29.000Z,113.81211640513169,22.62300871760843
20,2015-09-02T03:08:57.000Z,114.13245721227936,22.569324218201533,2015-09-02T03:51:09.000Z,113.8116813824533,22.62785971397658
21,2015-09-02T03:54:12.000Z,113.80768412443008,22.621608461717173,2015-09-02T03:55:34.000Z,113.81154437376185,22.62399269303515
22,2015-09-02T17:29:56.000Z,114.12990882978309,22.54860578295891,2015-09-02T18:20:09.000Z,113.807516112321,22.622009452218503
23,2015-09-02T18:02:54.000Z,113.92010380940826,22.662641141702927,2015-09-02T19:07:25.000Z,113.8124294228805,22.62697274695302
24,2015-09-02T05:39:28.000Z,113.88911991631998,22.576302478341628,2015-09-02T05:55:45.000Z,113.80779813392515,22.62665948748226
25,2015-09-02T19:15:52.000Z,114.19244842769642,22.64999089276577,2015-09-02T20:32:50.000Z,113.81037730604618,22.62796064611691
26,2015-09-02T20:12:18.000Z,113.84808064532076,22.75362535241458,2015-09-02T20:40:35.000Z,113.80974426634873,22.62772560981247
27,2015-09-02T05:00:11.000Z,114.11780672850023,22.544104773926176,2015-09-02T05:38:45.000Z,113.8077141278601,22.626609481867213
28,2015-09-02T19:44:41.000Z,113.84518187798284,22.626075184044613,2015-09-02T19:51:52.000Z,113.80939324358695,22.627443588477302
29,2015-09-02T14:33:12.000Z,114.07133290217308,22.526594560962838,2015-09-02T15:09:14.000Z,113.80863019242264,22.627059541325174
30,2015-09-02T18:52:05.000Z,114.06279387889653,22.517591643720397,2015-09-02T19:29:13.000Z,113.81258243011459,22.623891742858593
31,2015-09-02T05:41:04.000Z,114.03805389385245,22.54660012264,2015-09-02T06:06:06.000Z,113.80932423905328,22.627389584233626
32,2015-09-02T20:02:50.000Z,113.99249563591779,22.541584150129037,2015-09-02T20:35:01.000Z,113.80900321773609,22.62726056469827
33,2015-09-02T05:31:36.000Z,113.94715896458388,22.557207265276798,2015-09-02T05:53:31.000Z,113.81079633136923,22.62794366868473
34,2015-09-02T16:44:09.000Z,113.91508498548531,22.54131379007991,2015-09-02T17:14:41.000Z,113.81286444515905,22.62584376290488
35,2015-09-02T19:50:22.000Z,113.81288744289331,22.61254871501655,2015-09-02T19:54:34.000Z,113.80769112619737,22.62660748036755
36,2015-09-02T18:29:11.000Z,113.88437591562416,22.58708345424221,2015-09-02T18:49:59.000Z,113.81234541756972,22.62362873080155
37,2015-09-02T07:02:07.000Z,113.88810613432787,22.588677729334954,2015-09-02T07:18:05.000Z,113.80904222034509,22.62726256704288
38,2015-09-02T04:48:44.000Z,113.8566176471176,22.583267871494197,2015-09-02T05:00:42.000Z,113.80620301351463,22.624240371038184
39,2015-09-02T05:37:12.000Z,113.79806226423143,22.704089946030326,2015-09-02T05:57:13.000Z,113.80867519548462,22.62699654385633
40,2015-09-02T15:37:11.000Z,113.87792219697208,22.564436567084023,2015-09-02T16:06:54.000Z,113.81146037001972,22.627952703208212
41,2015-09-02T06:58:11.000Z,114.05669650554285,22.537692438362132,2015-09-02T07:31:04.000Z,113.80941524501509,22.6274085896372
42,2015-09-02T05:05:24.000Z,114.13431146751307,22.54880739269197,2015-09-02T05:41:15.000Z,113.81221541149709,22.627010736954066
43,2015-09-02T10:20:41.000Z,114.10617730642792,22.54123548025452,2015-09-02T11:00:33.000Z,113.8126274330452,22.626171753259783
44,2015-09-02T09:22:09.000Z,114.11612739991371,22.53940044724957,2015-09-02T10:06:03.000Z,113.81242142178064,22.62434373699557
45,2015-09-02T06:21:17.000Z,113.88310917472653,22.585902692198466,2015-09-02T06:36:53.000Z,113.80871419814902,22.627010546292638
46,2015-09-02T19:50:02.000Z,113.91570284028921,22.57579678937137,2015-09-02T20:11:47.000Z,113.811514373097,22.628009706146017
47,2015-09-02T05:38:50.000Z,113.87700737445896,22.584805810683516,2015-09-02T05:52:30.000Z,113.8097132643104,22.627510607257555
48,2015-09-02T21:06:24.000Z,114.00378656805195,22.66008648830707,2015-09-02T21:39:30.000Z,113.81001128329063,22.62780962525621
49,2015-09-02T10:08:21.000Z,113.87381096940062,22.59680541230591,2015-09-02T10:29:56.000Z,113.8089122116378,22.6273095593998
50,2015-09-02T22:41:26.000Z,113.81241442109268,22.623109732156205,2015-09-02T22:58:56.000Z,113.80971326420831,22.627109605802694
51,2015-09-02T06:42:34.000Z,113.9228651777365,22.493644904806924,2015-09-02T07:18:08.000Z,113.8103773060329,22.62790864592833
52,2015-09-02T07:04:12.000Z,114.03615356949206,22.63898814513829,2015-09-02T07:42:55.000Z,113.80927823604715,22.627460581782547
53,2015-09-02T09:43:09.000Z,114.06777704762916,22.5239767550791,2015-09-02T10:18:23.000Z,113.80923223299295,22.627376578761393
54,2015-09-02T05:10:36.000Z,113.92998156246435,22.49318438831244,2015-09-02T05:39:27.000Z,113.80888120950578,22.627141556917955
55,2015-09-02T20:58:36.000Z,114.03510042352751,22.544247679772702,2015-09-02T21:26:55.000Z,113.80823316484604,22.626806515731797
56,2015-09-02T19:25:56.000Z,113.94582422987101,22.506572313178392,2015-09-02T20:12:23.000Z,113.80731009829206,22.626377454524075
57,2015-09-02T18:31:05.000Z,114.05117933584054,22.53164133028116,2015-09-02T19:21:34.000Z,113.80909522277858,22.62292655443346
58,2015-09-02T05:56:26.000Z,114.10999213717508,22.537770250438594,2015-09-02T06:28:26.000Z,113.81009428846114,22.627693629486608
59,2015-09-02T21:49:10.000Z,114.03889303718375,22.52457217458661,2015-09-02T22:19:16.000Z,113.81268143527879,22.623975747736626
