sequence,on_date,on_longitude,on_latitude,off_date,off_longitude,off_latitude
0,2015-09-08T23:52:44.000Z,113.82701673926529,22.615909975505193,2015-09-09T00:45:16.000Z,113.81281144252041,22.62611076147241
1,2015-09-08T05:03:45.000Z,113.83541651125505,22.616609752863674,2015-09-08T05:12:54.000Z,113.81291044720702,22.62471076085061
2,2015-09-08T05:32:53.000Z,113.85221517387774,22.578608349396596,2015-09-08T05:47:29.000Z,113.8111093498321,22.62800968539235
3,2015-09-08T05:50:14.000Z,113.80871419817413,22.627109546651678,2015-09-08T05:52:29.000Z,113.80830916907513,22.622508504862342
4,2015-09-08T00:17:44.000Z,113.8205167158365,22.641711053000268,2015-09-08T00:25:58.000Z,113.80920923148142,22.627408577516164
5,2015-09-08T11:26:27.000Z,113.85371100385666,22.584708212077235,2015-09-08T11:42:50.000Z,113.80920923145628,22.627309577157146
6,2015-09-08T07:59:48.000Z,114.0238919198268,22.624687583498392,2015-09-08T08:32:31.000Z,113.81291044715513,22.624509760116634
7,2015-09-08T07:40:20.000Z,114.119607084375,22.620706364025132,2015-09-08T08:50:44.000Z,113.80830917023931,22.62710952160014
8,2015-09-08T06:44:18.000Z,113.90060035995238,22.57589908483723,2015-09-08T07:03:35.000Z,113.81291044712904,22.62440875974773
9,2015-09-08T14:44:43.000Z,113.92468775782851,22.52219262614971,2015-09-08T15:09:50.000Z,113.80824116542601,22.626882516510502
10,2015-09-08T07:00:29.000Z,114.1231097211605,22.61320494340824,2015-09-08T07:42:50.000Z,113.8068140604883,22.623708411460573
11,2015-09-08T18:49:53.000Z,114.0560173481654,22.619422575025176,2015-09-08T19:30:39.000Z,113.80772212844609,22.626642482505517
12,2015-09-08T06:27:26.000Z,113.86600729523606,22.572405562601038,2015-09-08T06:41:54.000Z,113.8112163560448,22.628009690936324
13,2015-09-08T06:28:33.000Z,113.88690838835196,22.591202976487,2015-09-08T06:45:23.000Z,113.8111093498321,22.62800968539235
14,2015-09-08T07:24:15.000Z,113.85191021731336,22.619608539068324,2015-09-08T07:36:57.000Z,113.80881320487556,22.627010552322478
15,2015-09-08T13:26:05.000Z,114.10838980328896,22.62216121637816,2015-09-08T14:12:22.000Z,113.80790514161396,22.626741494662934
16,2015-09-08T07:11:09.000Z,113.93599223999875,22.555791397864443,2015-09-08T07:29:46.000Z,113.809515251522,22.627408595463372
17,2015-09-08T05:30:26.000Z,114.07829960880005,22.553945249308228,2015-09-08T06:00:56.000Z,113.80776013117381,22.62659248478443
18,2015-09-08T15:06:21.000Z,114.11363990048271,22.543019988167845,2015-09-08T15:55:22.000Z,113.809133226415,22.627292572583205
19,2015-09-08T01:28:32.000Z,113.85487787392886,22.62707724271297,2015-09-08T01:36:21.000Z,113.81205540164551,22.6223147121242
